"variable","p-value"
"symboling","0.993329378875639"
"normalized_losses","0.0383437399681384"
"make","0.835507896251773"
"fuel_type","0.928211012796923"
"aspiration","0.91918610301516"
"number_of_doors","0.246625663991155"
"body_style","0.927520656227154"
"drive_wheels","0.000482633013212433"
"wheel_base","0.000830981684070209"
"width","0.000896255075335585"
"height","0.0224036331144843"
"engine_type","0.532576074658584"
"number_of_cylinders","0.137661477722871"
"engine_size","0.0002420341405359"
"fuel_system","0.0202142431655958"
"bore","0.00523878429396077"
"stroke","0.074236397164455"
"compression_ratio","0.942635381454468"
"peak_rpm","0.693498230245677"
"highway_mpg","0.970345910002387"
"price","0.000119171584112334"
